Rk,Name,Prfct,Gcar,Gtm,Year,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24
53,Hideo Nomo,,184,2,2001,Apr 4,BOS,@,BAL,"W,3-0",SHO,W,99,9,0,0,0,3,11,0,0,0,30,110,69,22,14,8,8,2,2,0,95,0,0,0,27,0,0,0,0,0,1,0.89,0.545,0.95,0.35%,4.68
54,Eric Milton*,,62,141,1999,Sep 11,MIN,,ANA,"W,7-0",SHO,W,4,9,0,0,0,2,13,0,0,4.64,28,122,78,24,18,4,9,1,4,0,98,0,1,0,26,0,0,0,0,0,0,0.43,0.275,0,0.00%,5.47
55,David Cone,Y,377,90,1999,Jul 18,NYY,,MON,"W,6-0",SHO,W,10,9,0,0,0,0,10,0,0,2.65,27,88,68,21,18,4,13,0,4,0,97,0,0,0,27,0,0,0,0,0,0,0.36,0.259,0.34,0.14%,5.2
56,Jose Jimenez,,19,73,1999,Jun 25,STL,@,ARI,"W,1-0",SHO,W,4,9,0,0,0,2,8,0,1,6.02,28,101,62,20,12,10,7,0,2,0,93,0,0,0,25,0,0,0,2,0,0,1.23,0.799,0.79,0.31%,5.04
57,David Wells*,Y,389,37,1998,May 17,NYY,,MIN,"W,4-0",SHO,W,4,9,0,0,0,0,11,0,0,4.45,27,120,79,20,14,6,10,0,5,0,98,0,0,0,27,0,0,0,0,0,0,0.68,0.477,0.64,0.27%,4.94
58,Kevin Brown,,259,62,1997,Jun 10,FLA,@,SFG,"W,9-0",SHO,W,4,9,0,0,0,0,7,0,1,2.81,28,98,67,23,10,17,3,1,0,0,94,0,0,0,27,0,0,0,0,0,0,0.54,0.382,0.79,0.33%,4.53
59,Hideo Nomo,,59,151,1996,Sep 17,LAD,@,COL,"W,9-0",SHO,W,4,9,0,0,0,4,8,0,0,3.16,30,110,66,16,20,8,10,2,2,0,91,2,1,0,26,0,0,0,0,0,0,0.74,0.376,1.29,0.39%,5.79
60,Dwight Gooden,,312,36,1996,May 14,NYY,,SEA,"W,2-0",SHO,W,5,9,0,0,0,6,5,0,0,4.46,33,134,74,32,10,8,14,3,3,0,86,0,0,0,27,0,0,0,0,0,1,1.39,0.644,1.81,0.50%,5.47
61,Al Leiter*,,121,38,1996,May 11,FLA,,COL,"W,11-0",SHO,W,4,9,0,0,0,2,6,0,1,2.33,28,103,58,12,8,9,10,1,7,0,91,0,0,0,25,0,0,0,2,0,0,0.22,0.093,0.13,0.03%,4.57
62,Ramon Martinez,,187,71,1995,Jul 14,LAD,,FLA,"W,7-0",SHO,W,5,9,0,0,0,1,8,0,0,4.43,28,114,79,23,9,10,9,0,3,0,94,0,0,0,27,0,0,0,0,0,0,0.43,0.301,0.44,0.19%,4.23
